"","V1"
"COHORT_mean",3
"COHORT_sd",0
"COHORT_median",3
"COHORT_mode",3
"COHORT_IQR",0
"Education_mean",16.027397260274
"Education_sd",2.08148319674354
"Education_median",16
"Education_mode",18
"Education_IQR",4
"Age.at.Exam_mean",70.958904109589
"Age.at.Exam_sd",5.83437694513301
"Age.at.Exam_median",70
"Age.at.Exam_mode",65
"Age.at.Exam_IQR",8
"GDS_mean",0.73972602739726
"GDS_sd",0.943212554993041
"GDS_median",0
"GDS_mode",0
"GDS_IQR",1
"CAPS_mean",1.95890410958904
"CAPS_sd",3.74699270587755
"CAPS_median",0
"CAPS_mode",0
"CAPS_IQR",3
"MoCA_mean",23.2054794520548
"MoCA_sd",3.29122952417815
"MoCA_median",23
"MoCA_mode",24
"MoCA_IQR",4
"ST87SA_mean",89684.0917808219
"ST87SA_sd",7025.58729183613
"ST87SA_median",90242.8
"ST87SA_mode",82482.3
"ST87SA_IQR",7777.7
"ST28SA_mean",83775.9342465753
"ST28SA_sd",6684.74067121902
"ST28SA_median",83642.9
"ST28SA_mode",75421.9
"ST28SA_IQR",6989.7
"ST102SA_mean",1472.04109589041
"ST102SA_sd",214.848877014375
"ST102SA_median",1454
"ST102SA_mode",1351
"ST102SA_IQR",282
"ST103SA_mean",677.095890410959
"ST103SA_sd",103.899813440048
"ST103SA_median",670
"ST103SA_mode",485
"ST103SA_IQR",120
"ST104SA_mean",1385.15068493151
"ST104SA_sd",207.971196672418
"ST104SA_median",1382
"ST104SA_mode",1323
"ST104SA_IQR",286
"ST105SA_mean",752.904109589041
"ST105SA_sd",97.1411007509125
"ST105SA_median",761
"ST105SA_mode",846
"ST105SA_IQR",112
"ST106SA_mean",1449.45205479452
"ST106SA_sd",259.293379585959
"ST106SA_median",1394
"ST106SA_mode",1072
"ST106SA_IQR",359
"ST107SA_mean",1415.80821917808
"ST107SA_sd",179.323625630547
"ST107SA_median",1375
"ST107SA_mode",1313
"ST107SA_IQR",251
"ST108SA_mean",4056.8904109589
"ST108SA_sd",370.725998010954
"ST108SA_median",4053
"ST108SA_mode",3888
"ST108SA_IQR",412
"ST109SA_mean",1141.45205479452
"ST109SA_sd",185.497008144178
"ST109SA_median",1108
"ST109SA_mode",995
"ST109SA_IQR",264
"ST110SA_mean",5047.6301369863
"ST110SA_sd",481.634269580875
"ST110SA_median",4980
"ST110SA_mode",4881
"ST110SA_IQR",569
"ST111SA_mean",3769.86301369863
"ST111SA_sd",462.181100720284
"ST111SA_median",3840
"ST111SA_mode",3201
"ST111SA_IQR",595
"ST113SA_mean",644.849315068493
"ST113SA_sd",125.079271667664
"ST113SA_median",641
"ST113SA_mode",478
"ST113SA_IQR",160
"ST114SA_mean",5814.98630136986
"ST114SA_sd",713.044343586605
"ST114SA_median",5830
"ST114SA_mode",4859
"ST114SA_IQR",898
"ST115SA_mean",6917.28767123288
"ST115SA_sd",788.973198380374
"ST115SA_median",6836
"ST115SA_mode",5495
"ST115SA_IQR",865
"ST116SA_mean",5292.84931506849
"ST116SA_sd",541.395539099159
"ST116SA_median",5256
"ST116SA_mode",4751
"ST116SA_IQR",659
"ST117SA_mean",3546.41095890411
"ST117SA_sd",355.056600950094
"ST117SA_median",3526
"ST117SA_mode",3234
"ST117SA_IQR",437
"ST118SA_mean",3569.34246575342
"ST118SA_sd",521.962275647763
"ST118SA_median",3534
"ST118SA_mode",2594
"ST118SA_IQR",752
"ST119SA_mean",459.27397260274
"ST119SA_sd",59.3483736260295
"ST119SA_median",462
"ST119SA_mode",411
"ST119SA_IQR",71
"ST121SA_mean",325.424657534247
"ST121SA_sd",58.8437001745158
"ST121SA_median",328
"ST121SA_mode",338
"ST121SA_IQR",59
"ST129SA_mean",2293.28767123288
"ST129SA_sd",231.859420977217
"ST129SA_median",2281
"ST129SA_mode",2131
"ST129SA_IQR",262
"ST130SA_mean",2369.1095890411
"ST130SA_sd",285.751230270698
"ST130SA_median",2332
"ST130SA_mode",2037
"ST130SA_IQR",301
"ST13SA_mean",999.684931506849
"ST13SA_sd",178.53398966088
"ST13SA_median",974
"ST13SA_mode",831
"ST13SA_IQR",228
"ST14SA_mean",634.438356164384
"ST14SA_sd",132.148904470736
"ST14SA_median",608
"ST14SA_mode",615
"ST14SA_IQR",162
"ST15SA_mean",2294.57534246575
"ST15SA_sd",380.620871362692
"ST15SA_median",2326
"ST15SA_mode",2055
"ST15SA_IQR",562
"ST23SA_mean",1396.56164383562
"ST23SA_sd",176.202691546898
"ST23SA_median",1440
"ST23SA_mode",1456
"ST23SA_IQR",263
"ST24SA_mean",423.164383561644
"ST24SA_sd",72.0229542303914
"ST24SA_median",420
"ST24SA_mode",346
"ST24SA_IQR",105
"ST25SA_mean",207.945205479452
"ST25SA_sd",28.9577711748595
"ST25SA_median",207
"ST25SA_mode",223
"ST25SA_IQR",40
"ST26SA_mean",3190.61643835616
"ST26SA_sd",397.783044934219
"ST26SA_median",3183
"ST26SA_mode",2947
"ST26SA_IQR",623
"ST31SA_mean",4395.16438356164
"ST31SA_sd",577.885754128757
"ST31SA_median",4403
"ST31SA_mode",3349
"ST31SA_IQR",668
"ST32SA_mean",3277.61643835616
"ST32SA_sd",459.952462221701
"ST32SA_median",3260
"ST32SA_mode",3101
"ST32SA_IQR",574
"ST34SA_mean",1016.1095890411
"ST34SA_sd",173.746587627869
"ST34SA_median",1003
"ST34SA_mode",780
"ST34SA_IQR",247
"ST35SA_mean",4783.45205479452
"ST35SA_sd",476.922630607939
"ST35SA_median",4817
"ST35SA_mode",3975
"ST35SA_IQR",543
"ST36SA_mean",2656.47945205479
"ST36SA_sd",279.284010640952
"ST36SA_median",2631
"ST36SA_mode",2357
"ST36SA_IQR",481
"ST38SA_mean",2976.42465753425
"ST38SA_sd",323.021022613434
"ST38SA_median",2941
"ST38SA_mode",2554
"ST38SA_IQR",441
"ST39SA_mean",1974.75342465753
"ST39SA_sd",238.659903350511
"ST39SA_median",1960
"ST39SA_mode",1949
"ST39SA_IQR",296
"ST40SA_mean",3015.57534246575
"ST40SA_sd",399.907243335815
"ST40SA_median",3001
"ST40SA_mode",3001
"ST40SA_IQR",517
"ST43SA_mean",1321.06849315068
"ST43SA_sd",174.174746923179
"ST43SA_median",1316
"ST43SA_mode",1080
"ST43SA_IQR",227
"ST44SA_mean",676.753424657534
"ST44SA_sd",95.1883776784397
"ST44SA_median",668
"ST44SA_mode",689
"ST44SA_IQR",136
"ST45SA_mean",1634.65753424658
"ST45SA_sd",284.813741240466
"ST45SA_median",1528
"ST45SA_mode",1528
"ST45SA_IQR",394
"ST46SA_mean",617.86301369863
"ST46SA_sd",79.2123228117691
"ST46SA_median",616
"ST46SA_mode",615
"ST46SA_IQR",111
"ST47SA_mean",1266.38356164384
"ST47SA_sd",165.220360439642
"ST47SA_median",1265
"ST47SA_mode",962
"ST47SA_IQR",253
"ST48SA_mean",1280.01369863014
"ST48SA_sd",193.680686035223
"ST48SA_median",1258
"ST48SA_mode",1151
"ST48SA_IQR",259
"ST49SA_mean",4223.12328767123
"ST49SA_sd",434.04774267628
"ST49SA_median",4217
"ST49SA_mode",4217
"ST49SA_IQR",506
"ST50SA_mean",1116.41095890411
"ST50SA_sd",152.673201790298
"ST50SA_median",1097
"ST50SA_mode",1076
"ST50SA_IQR",200
"ST51SA_mean",5061.2602739726
"ST51SA_sd",436.60324053988
"ST51SA_median",5029
"ST51SA_mode",4507
"ST51SA_IQR",575
"ST52SA_mean",3536.65753424658
"ST52SA_sd",426.88839353246
"ST52SA_median",3577
"ST52SA_mode",2666
"ST52SA_IQR",487
"ST54SA_mean",824.835616438356
"ST54SA_sd",158.605994500929
"ST54SA_median",832
"ST54SA_mode",663
"ST54SA_IQR",173
"ST55SA_mean",5719.46575342466
"ST55SA_sd",673.350249007647
"ST55SA_median",5746
"ST55SA_mode",4842
"ST55SA_IQR",1062
